followers,friends,favorites,friends_favorites,followers_favorites,followers_favorites_friends,followers_zTransformation,friends_zTransformation,favorites_zTransformation,friends_favorites_zTransformation,followers_favorites_zTransformation,followers_favorites_friends_zTransformation,senti_pos,senti_neg,FEL,#mentions,#hashtags,#urls,component_card,weekday,hour,day,week_of_month,Entity_KW_Count,Hashtag_KW_Count,Mention_KW_Count,URL_KW_Count,senti_pos_ce,senti_neg_ce,weekday_ce,hour_ce,day_ce,week_of_month_ce,senti_pos_te,senti_neg_te,weekday_te,hour_te,day_te,week_of_month_te,retweets
110,342,0,0,0,0,-0.12022936928275886,-0.16485005577734976,-0.06916138638755598,-0.017860811741825917,-0.010484914462081484,-0.0012889368104077978,1,-4,-3.534635837356622,1,1,0,0.0,0,23,18,4,0.0,0.0,0.0,0.0,738878,99971,166489,48621,43723,279535,37.004127502441406,48.5555419921875,36.043582916259766,46.653621673583984,35.37744140625,34.44314193725586,0
364,411,0,0,0,0,-0.12012228881189553,-0.16127567240464719,-0.06916138638755598,-0.017860811741825917,-0.010484914462081484,-0.0012889368104077978,1,-3,0.0,1,1,0,0.0,6,19,3,1,0.0,0.0,0.0,0.0,738878,154875,186398,65844,41160,131491,37.004127502441406,46.48217010498047,39.92867660522461,27.654569625854492,31.75754165649414,32.21827697753906,0
110,167,0,0,0,0,-0.12022936928275886,-0.1739155208530447,-0.06916138638755598,-0.017860811741825917,-0.010484914462081484,-0.0012889368104077978,1,-1,0.0,1,2,0,0.0,0,18,18,4,0.0,0.0,0.0,0.0,738878,861648,166489,69965,43723,279535,36.52212905883789,31.72364044189453,36.566436767578125,32.96804428100586,37.284244537353516,35.01303482055664,0
9555393,391,46,17986,439548078,171863298498,3.9080548939943487,-0.1623117255561552,-0.04232137695324369,-0.017494209384761556,0.0008229168298235256,-0.0012477355762996133,2,-1,0.0,1,1,0,0.0,2,13,13,3,0.0,0.0,0.0,0.0,381560,861648,173259,67282,45848,305971,33.643619537353516,32.63173294067383,36.75468063354492,36.27217483520508,35.52183532714844,33.718509674072266,17
7036,1078,1,1078,7036,7584808,-0.11730952935677684,-0.1267232998018556,-0.06857790792159267,-0.01783883924427697,-0.01048473345366636,-0.0012889349920821123,2,-1,-3.452604603495251,1,1,1,3.884068328530035e-06,3,10,28,5,4.0,0.0,0.0,0.0,381560,861648,183101,45686,42289,272893,33.643619537353516,32.63173294067383,32.7452278137207,29.310396194458008,36.038578033447266,45.19135284423828,1
178,249,0,0,0,0,-0.12020070207008679,-0.16966770293186195,-0.06916138638755598,-0.017860811741825917,-0.010484914462081484,-0.0012889368104077978,1,-1,-2.532157499675475,1,1,1,2.3304409971180213e-05,1,16,19,4,0.0,0.0,0.0,0.0,738878,861648,176713,77076,41785,279535,36.86331558227539,31.927169799804688,33.771358489990234,32.708805084228516,35.22592544555664,34.79351043701172,0
494,682,0,0,0,0,-0.12006748384649304,-0.14723715220171388,-0.06916138638755598,-0.017860811741825917,-0.010484914462081484,-0.0012889368104077978,1,-1,-2.3096035868012508,1,1,1,1.747830747838516e-05,1,16,19,4,0.0,0.0,0.0,0.0,738878,861648,176713,77076,41785,279535,36.86331558227539,31.927169799804688,33.771358489990234,32.708805084228516,35.22592544555664,34.79351043701172,0
385,358,0,0,0,0,-0.12011343570209974,-0.16402121325614338,-0.06916138638755598,-0.017860811741825917,-0.010484914462081484,-0.0012889368104077978,1,-1,-1.8530834349826761,1,1,0,0.0,6,20,17,3,0.0,0.0,0.0,0.0,738878,861648,186398,61853,37046,305971,36.76259994506836,32.21958923339844,39.31279754638672,28.666120529174805,31.244253158569336,33.51803970336914,0
8418,8770,270,2367900,2272860,19932982200,-0.11672691041688266,0.27174274226811884,0.0883777994225379,0.03040326705794613,-0.010426442775555034,-0.0012841582249083112,1,-1,-2.6612193532833763,1,1,0,0.0,6,21,17,3,0.0,0.0,0.0,0.0,738878,861648,186398,57578,37046,305971,37.004127502441406,32.41433334350586,39.92867660522461,30.36260986328125,33.070396423339844,33.37568664550781,23
710,999,6,5994,4260,4255740,-0.11997642328859351,-0.13081570975031218,-0.06566051559177612,-0.017738638133005514,-0.010484804869152485,-0.0012889357901682144,1,-1,-1.6924327346486034,1,2,0,0.0,3,8,28,5,0.0,3.0,0.0,0.0,738878,861648,183101,42403,42289,272893,36.52212905883789,31.72364044189453,33.26390838623047,30.583206176757812,36.460845947265625,42.98676300048828,3
1,87,0,0,0,0,-0.12027532113836557,-0.1780597334590767,-0.06916138638755598,-0.017860811741825917,-0.010484914462081484,-0.0012889368104077978,2,-1,-2.740452414082771,1,1,1,1.9420341642650176e-06,4,13,1,1,0.0,0.0,0.0,0.0,381560,861648,223383,67282,49499,131491,33.08271026611328,31.72364044189453,32.95283889770508,36.218414306640625,29.71187973022461,32.7852783203125,0
667,1259,0,0,0,0,-0.11999455108484203,-0.11734701878070826,-0.06916138638755598,-0.017860811741825917,-0.010484914462081484,-0.0012889368104077978,3,-3,-5.242319452613433,1,1,0,0.0,4,21,15,3,0.0,0.0,0.0,0.0,164828,154875,223383,57578,46546,305971,35.0166130065918,45.3212776184082,32.61134338378906,29.798620223999023,31.67947006225586,33.718509674072266,0
64169,618,850,525300,54543650,33707975700,-0.0932235902156953,-0.15055252228653945,0.42679530968125806,-0.007153805283140898,-0.009081722358384661,-0.0012808559100045925,1,-1,0.0,1,2,0,0.0,3,1,7,2,0.0,0.0,0.0,0.0,738878,861648,183101,46517,47529,310317,36.52212905883789,31.72364044189453,33.26390838623047,49.63914108276367,30.747154235839844,32.41461181640625,100
6261,592,0,0,0,0,-0.11763625126590709,-0.15189939138349984,-0.06916138638755598,-0.017860811741825917,-0.010484914462081484,-0.0012889368104077978,1,-1,-2.9188447748866704,1,1,1,2.1362375806915196e-05,2,10,27,5,0.0,0.0,0.0,0.0,738878,861648,173259,45686,40548,272893,36.86331558227539,31.927169799804688,35.45729446411133,29.128000259399414,46.5931396484375,44.43777847290039,0
808,2201,0,0,0,0,-0.11993510877621318,-0.06854891534468174,-0.06916138638755598,-0.017860811741825917,-0.010484914462081484,-0.0012889368104077978,2,-1,-4.100111973763429,1,1,0,0.0,3,22,7,2,0.0,0.0,0.0,0.0,381560,861648,183101,53283,47529,310317,33.501739501953125,31.927169799804688,33.50276184082031,44.766761779785156,29.394113540649414,32.31998825073242,0
57,119,0,0,0,0,-0.1202517128455768,-0.1764020484166639,-0.06916138638755598,-0.017860811741825917,-0.010484914462081484,-0.0012889368104077978,1,-1,-2.907691303956171,1,1,1,5.826102492795053e-06,2,5,27,5,0.0,0.0,0.0,0.0,738878,861648,173259,37894,40548,272893,37.004127502441406,32.41433334350586,35.6087532043457,37.29289245605469,47.701290130615234,45.369388580322266,0
42,331,0,0,0,0,-0.12025803649543093,-0.16541988501067917,-0.06916138638755598,-0.017860811741825917,-0.010484914462081484,-0.0012889368104077978,2,-1,-2.90057137843258,1,1,1,0.002180904366469615,2,12,13,3,0.0,0.0,0.0,0.0,381560,861648,173259,60094,45848,305971,33.643619537353516,32.63173294067383,36.75468063354492,36.890193939208984,35.52183532714844,33.718509674072266,0
32,46,0,0,0,0,-0.12026225226200035,-0.18018364241966808,-0.06916138638755598,-0.017860811741825917,-0.010484914462081484,-0.0012889368104077978,2,-3,0.0,1,1,0,0.0,5,17,23,4,0.0,0.0,0.0,0.0,381560,154875,190864,72448,36071,279535,34.00392150878906,46.48217010498047,38.311431884765625,28.631610870361328,35.544803619384766,34.44314193725586,0
611,2384,0,0,0,0,-0.1200181593776308,-0.0590690290083836,-0.06916138638755598,-0.017860811741825917,-0.010484914462081484,-0.0012889368104077978,2,-1,-7.41169789355768,2,1,0,0.0,6,6,3,1,0.0,0.0,0.0,0.0,381560,861648,186398,38762,41160,131491,34.00392150878906,32.41433334350586,39.92867660522461,33.775203704833984,31.75754165649414,32.21827697753906,0
31367,5667,10,56670,313670,1777567890,-0.10705214771671498,0.11099909581165358,-0.06332660172792287,-0.016705726921697077,-0.010476844975217905,-0.0012885106694491455,2,-1,-3.938573060593922,1,3,0,0.0,2,20,20,4,0.0,0.0,0.0,0.0,381560,861648,173259,61853,41390,279535,33.312129974365234,32.21958923339844,34.95927429199219,28.666120529174805,30.390708923339844,34.607452392578125,4
565,874,0,0,0,0,-0.12003755190385014,-0.13729104194723712,-0.06916138638755598,-0.017860811741825917,-0.010484914462081484,-0.0012889368104077978,1,-1,-3.630581199285082,1,1,0,0.0,6,3,3,1,0.0,0.0,0.0,0.0,738878,861648,186398,42066,41160,131491,36.86331558227539,31.927169799804688,39.360984802246094,40.202720642089844,30.877613067626953,31.631105422973633,0
1261,1105,0,0,0,0,-0.11974413455061833,-0.1253246280473198,-0.06916138638755598,-0.017860811741825917,-0.010484914462081484,-0.0012889368104077978,2,-3,-6.202618956612279,5,1,1,1.747830747838516e-05,3,9,14,3,0.0,0.0,0.0,0.0,381560,154875,183101,43256,46948,305971,33.08271026611328,45.128387451171875,33.26390838623047,29.79987907409668,31.55645751953125,32.53730392456055,0
238,259,0,0,0,0,-0.12017540747067025,-0.16914967635610795,-0.06916138638755598,-0.017860811741825917,-0.010484914462081484,-0.0012889368104077978,1,-1,-6.785020857608551,1,1,1,0.00385105374773753,1,18,5,2,0.0,0.0,0.0,0.0,738878,861648,176713,69965,47726,310317,36.76259994506836,32.21958923339844,34.2660026550293,30.829954147338867,35.06702423095703,32.732765197753906,0
281,317,0,0,0,0,-0.12015727967442173,-0.16614512221673478,-0.06916138638755598,-0.017860811741825917,-0.010484914462081484,-0.0012889368104077978,1,-3,-2.449760019112764,1,1,0,0.0,4,4,29,5,0.0,0.0,0.0,0.0,738878,154875,223383,39191,41989,272893,37.004127502441406,46.48217010498047,33.41928482055664,37.83518600463867,41.140445709228516,45.369388580322266,0
17,122,0,0,0,0,-0.1202685759118545,-0.1762466404439377,-0.06916138638755598,-0.017860811741825917,-0.010484914462081484,-0.0012889368104077978,2,-1,0.0,1,1,0,0.0,6,5,17,3,0.0,0.0,0.0,0.0,381560,861648,186398,37894,37046,305971,33.312129974365234,32.21958923339844,39.31279754638672,38.30710220336914,31.244253158569336,33.51803970336914,0
2805,2212,0,0,0,0,-0.1190932201922995,-0.06797908611135235,-0.06916138638755598,-0.017860811741825917,-0.010484914462081484,-0.0012889368104077978,1,-1,-4.096482881916688,1,1,0,0.0,4,13,8,2,0.0,0.0,0.0,0.0,738878,861648,223383,67282,44390,310317,36.52212905883789,31.72364044189453,32.95283889770508,36.218414306640625,33.72018814086914,32.41461181640625,0
114665,991,74,73334,8485210,8408843110,-0.07193565534673949,-0.13123013101091538,-0.025983979906270993,-0.016366070428973818,-0.010266623613005389,-0.0012869209366489329,2,-1,-1.4103273474020743,2,1,0,0.0,3,20,14,3,1.0,0.0,0.0,0.0,381560,861648,183101,61853,46948,305971,33.643619537353516,32.63173294067383,32.7452278137207,29.135465621948242,33.569801330566406,33.718509674072266,7
5715915,705,447,315135,2555014005,1801284873525,2.289420594351035,-0.1460456910774797,0.1916534878980439,-0.011437525085900345,0.05524547719030686,-0.000857110117808279,1,-1,0.0,1,1,0,0.0,5,8,16,3,0.0,0.0,0.0,0.0,738878,861648,190864,42403,37352,305971,36.86331558227539,31.927169799804688,38.22315216064453,31.962764739990234,30.701753616333008,32.96247863769531,273
4511,4990,5,24950,22555,112549450,-0.11837401041555602,0.075928696633108,-0.06624399405773942,-0.017352264604677255,-0.010484334211256706,-0.0012889098286363624,2,-1,-2.624722884110382,6,7,0,0.0,5,14,30,5,0.0,0.0,0.0,0.0,381560,861648,190864,71701,41531,272893,33.643619537353516,32.63173294067383,38.451087951660156,35.152854919433594,55.806739807128906,45.19135284423828,5
7137,4171,0,0,0,0,-0.11726695011442567,0.033502320078855646,-0.06916138638755598,-0.017860811741825917,-0.010484914462081484,-0.0012889368104077978,2,-1,-1.4103273474020743,1,1,0,0.0,0,8,25,5,0.0,0.0,0.0,0.0,381560,861648,166489,42403,31213,272893,33.08271026611328,31.72364044189453,36.566436767578125,30.583206176757812,44.31624984741211,42.98676300048828,0
